cutoff,rdd_est,rdd_lci,rdd_uci,rdd_pval,rdd_tval
460,-0.04985770028800512,-0.07661423613138807,-0.023101164444622162,2.600382082402598e-4,-3.652165492890173
470,-0.06460695447877246,-0.09104342344152735,-0.03817048551601756,1.6688768999391374e-6,-4.789872055440233
480,-0.06380084141372297,-0.09024233172036032,-0.03735935110708562,2.2539553252168696e-6,-4.729209658914692
490,-0.05671568482795424,-0.08318206847341035,-0.030249301182498134,2.6683088410429807e-5,-4.200071347503486
500,-0.04181434500873392,-0.06836276229720106,-0.015265927720266775,0.002021966642569592,-3.086986669064163
510,-0.02706182407389615,-0.05283752373475468,-0.0012861244130376245,0.039613189462447566,-2.057759876110723
520,-0.014630842120155127,-0.0403034621095535,0.011041777869243246,0.26400086904082487,-1.1169846954006855
530,-0.009698254732758536,-0.03506777036734003,0.015671260901822956,0.45370367801782846,-0.7492547458490498
540,-0.006173059602598024,-0.03142550870241292,0.019079389497216867,0.6318526684704683,-0.47912083488171264
550,0.0033160666451057673,-0.021659822250784947,0.02829195554099648,0.79468958785377,0.2602258210642189
560,-0.011224535589981039,-0.03634572832269219,0.013896657142730114,0.38117026530727616,-0.8757420769637401
570,-0.016370197386288376,-0.04100541437063879,0.008265019598062032,0.19277842471477877,-1.3024036815798707
580,-0.01335054748793536,-0.03795935202444259,0.01125825704857187,0.2876449969549556,-1.063302047502014
590,-0.019232556656644105,-0.04389920674294562,0.005434093429657411,0.12646748022793078,-1.528181501977939
600,-0.025992172268735025,-0.051487787748562996,-4.965567889070495e-4,0.04570185656024209,-1.9981365645786366
610,-0.043545855327186,-0.0685878746042725,-0.018503836050099504,6.539200834830949e-4,-3.408203914105684
620,-0.03307403125928342,-0.05802984081428793,-0.008118221704278908,0.009389203045214548,-2.597547875530568
630,-0.02890775100709932,-0.05372546186942494,-0.0040900401447737066,0.022431989626290276,-2.2829724772874083
640,-0.01947076582959048,-0.043952735201651834,0.005011203542470873,0.11904850238467814,-1.5587798186268742
650,-0.014154197575577367,-0.03861416399454039,0.010305768843385656,0.256723976431723,-1.134168256939573
660,-0.023116238393257237,-0.04796081947759727,0.0017283426910827925,0.06821002947926304,-1.823616769991908
670,-0.025543858775002953,-0.050219613304074956,-8.681042459309472e-4,0.042466805317925765,-2.0289164072449553
680,-0.024759002774917008,-0.04941192903757502,-1.060765122589992e-4,0.049022341206008097,-1.9683973097128211
690,-0.01616699618615576,-0.04052200617677572,0.008188013804464198,0.1932463365021323,-1.3010354040201773
700,-0.010643939919852588,-0.035413425306049504,0.014125545466344331,0.3996561693701604,-0.8422354591244218
710,0.004252876506698061,-0.0207202397336637,0.029225992747059823,0.7385468442746788,0.33377831999808
720,-0.006149689884222145,-0.030846538048361273,0.018547158279916987,0.6255180409463957,-0.48804489581255195
730,-0.009057205297759599,-0.03397874527059211,0.015864334675072908,0.4762744714304513,-0.7123073535401822
740,-0.009602790033819407,-0.034757506891152846,0.01555192682351403,0.45433081695125765,-0.7482144491679785
750,-0.013606229780634886,-0.038763369216651015,0.011550909655381246,0.2891237575347122,-1.060045813366282
760,-0.02978584152382167,-0.05505010110550789,-0.00452158194213545,0.020847129727393898,-2.3107416406624686
770,-0.024227675393189603,-0.04954611719661945,0.0010907664102402445,0.060720530026487717,-1.875525025135873
780,-0.007497767241639164,-0.03307660376871924,0.018081069285440905,0.5656212442811815,-0.5745122043576592
790,0.0020717392742419308,-0.023254709775212122,0.027398188323695984,0.8726228451902418,0.16032781993806053
800,0.005205204482446073,-0.019900601044458715,0.030311010009350863,0.6844775735154984,0.4063607242885596
810,-0.003374481068954312,-0.029218850461716784,0.022469888323808158,0.7980194726018083,-0.25591111398968147
820,-0.0033236819758925094,-0.029604074441157424,0.02295671048937241,0.8042298078265914,-0.24787670037364393
830,-0.017690278683966332,-0.04389731201283322,0.008516754644900558,0.18583025130479033,-1.3230154158219538
840,-0.01280833794217838,-0.03947903775222718,0.013862361867870418,0.3465751287724019,-0.9412531822291752
850,-0.017048114804560966,-0.044497246907000666,0.010401017297878734,0.22349199934321154,-1.2172949912057056
860,-0.011257934320711031,-0.03955002588595907,0.01703415724453701,0.4354467507417009,-0.7799050755234457
870,9.833387117568653e-4,-0.027963365994177952,0.029930043417691683,0.9469150543322595,0.06658127338592436
880,-0.01094248181298822,-0.04128759552856603,0.01940263190258959,0.4797124062561267,-0.706765196399037
890,-0.003935808905987961,-0.03547468016839496,0.027603062356419034,0.8067751063484521,-0.24458845218608716
900,0.009982078067525048,-0.022885318059614503,0.042849474194664595,0.5516723878928194,0.5952559620949496
